cluster_id,cluster_name,main_query,total_queries,total_frequency,intent,axis,status,page_role,parent_cluster,recommended_url,commercial_priority,business_relevance,cannibalization_risk,notes
C001,Быстроразъемные трубопроводы,быстроразъемные трубопроводы,6,,commercial,general,HUB,hub,,/bystrotruby-site/constructions/,high,core,high,total_frequency не рассчитана: источник частотности недоступен
C002,Трубопроводы с БРС,трубопровод с БРС,6,,commercial,product,SEPARATE_PAGE,category,C001,/bystrotruby-site/constructions/brs-pipelines/,high,core,high,total_frequency не рассчитана: источник частотности недоступен
C003,Трубы с БРС,трубы с БРС,7,,commercial,product,SEPARATE_PAGE,category,C002,/bystrotruby-site/catalog/pipes/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C004,БРС на шарнирном хомуте,БРС на шарнирном хомуте,7,,commercial,connection,SEPARATE_PAGE,product,C002,/bystrotruby-site/catalog/quick-couplings/hinged-clamps/,high,core,high,total_frequency не рассчитана: источник частотности недоступен
C005,Быстросборные и сборно-разборные трубопроводы,сборно-разборный трубопровод,6,,commercial_research,general,SECTION,section_only,C001,/bystrotruby-site/constructions/quick-assembly-pipelines/,medium,supporting,high,total_frequency не рассчитана: источник частотности недоступен
C006,Временные и мобильные трубопроводы,временный трубопровод,8,,commercial_research,general,SEPARATE_PAGE,category,C001,/bystrotruby-site/constructions/temporary-pipelines/,high,core,high,total_frequency не рассчитана: источник частотности недоступен
C007,Напорные трубопроводы,напорный трубопровод,5,,commercial_research,general,HUB,hub,C001,/bystrotruby-site/constructions/high-pressure-pipelines/,medium,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
C008,Водопонижение,водопонижение,9,,commercial_research,application,SEPARATE_PAGE,application,A000,/bystrotruby-site/solutions/dewatering/,high,core,high,total_frequency не рассчитана: источник частотности недоступен
C009,Водоотлив и откачка воды,водоотлив,7,,commercial_research,application,SEPARATE_PAGE,application,A000,/bystrotruby-site/solutions/dewatering/#vodootliv,high,core,high,total_frequency не рассчитана: источник частотности недоступен
C010,Карьерный водоотлив,карьерный водоотлив,6,,commercial_research,intersection,SEPARATE_PAGE,application,C009,/bystrotruby-site/solutions/dewatering/#quarry,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C011,Шахтный водоотлив,шахтный водоотлив,6,,commercial_research,intersection,SEPARATE_PAGE,application,C009,/bystrotruby-site/solutions/dewatering/#mine,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C012,Водоснабжение и подача воды,трубопровод для подачи воды,7,,commercial_research,application,SEPARATE_PAGE,application,A000,/bystrotruby-site/solutions/water-supply/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C013,Водоотведение и дренаж,трубопровод для водоотведения,6,,commercial_research,application,SECTION,application,A000,/bystrotruby-site/solutions/dewatering/#drainage,medium,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
C014,Орошение и мелиорация,трубы для орошения,7,,commercial_research,application,HUB,application,A000,/bystrotruby-site/solutions/irrigation-melioration/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C015,Пульпопроводы,пульпопровод,7,,commercial_research,application,SEPARATE_PAGE,application,A000,/bystrotruby-site/solutions/slurry-pumping/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C016,Шламопроводы,шламопровод,6,,commercial_research,application,SEPARATE_PAGE,application,A000,/bystrotruby-site/solutions/sludge-pumping/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C017,Гидротранспорт и гидромеханизация,гидротранспорт трубопровод,6,,commercial_research,application,SECTION,application,A000,/bystrotruby-site/solutions/slurry-pumping/#hydrotransport,medium,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
C018,Гидрозолоудаление,трубопровод гидрозолоудаления,5,,commercial_research,application,SEPARATE_PAGE,application,A000,/bystrotruby-site/solutions/ash-slag-removal/,medium,supporting,low,total_frequency не рассчитана: источник частотности недоступен
C019,Пылеподавление,трубопровод пылеподавления,4,,commercial_research,application,SEPARATE_PAGE,application,A000,/bystrotruby-site/solutions/dust-suppression/,medium,supporting,low,total_frequency не рассчитана: источник частотности недоступен
C020,Пожарное водоснабжение,временное пожарное водоснабжение,5,,commercial_research,application,SEPARATE_PAGE,application,A000,/bystrotruby-site/solutions/fire-water-supply/,medium,supporting,low,total_frequency не рассчитана: источник частотности недоступен
C021,Байпасирование трубопроводов,байпасирование трубопровода,6,,commercial_research,application,SEPARATE_PAGE,application,A000,/bystrotruby-site/solutions/bypass-pipelines/,medium,core,low,total_frequency не рассчитана: источник частотности недоступен
C022,Аварийные и ремонтные линии,аварийный трубопровод,5,,commercial_research,application,SECTION,application,A000,/bystrotruby-site/solutions/water-supply/#emergency,medium,core,medium,total_frequency не рассчитана: источник частотности недоступен
C023,Опрессовка и промывка,трубопровод для опрессовки,5,,commercial_research,application,SECTION,application,A000,/bystrotruby-site/solutions/water-supply/#service,low,supporting,low,total_frequency не рассчитана: источник частотности недоступен
C024,Снегогенерация,трубопровод для снегогенерации,4,,commercial_research,application,SEPARATE_PAGE,application,A000,/bystrotruby-site/solutions/snowmaking/,medium,supporting,low,total_frequency не рассчитана: источник частотности недоступен
C025,Подача бетона и закладочной смеси,трубопровод для подачи бетонной смеси,7,,commercial_research,application,HUB,application,A000,/bystrotruby-site/solutions/concrete-supply/,medium,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
I000,Отрасли,промышленные трубопроводные системы,1,,commercial_research,industry,HUB,hub,,/bystrotruby-site/industries/,medium,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
C026,Горнодобывающая промышленность,трубопроводы для горнодобывающей промышленности,8,,commercial_research,industry,SEPARATE_PAGE,industry,I000,/bystrotruby-site/industries/mining/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C027,Строительство,временные трубопроводы для строительства,6,,commercial_research,industry,SEPARATE_PAGE,industry,I000,/bystrotruby-site/industries/construction/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C028,Сельское хозяйство,трубопроводы для сельского хозяйства,5,,commercial_research,industry,SEPARATE_PAGE,industry,I000,/bystrotruby-site/industries/agriculture/,medium,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
C029,ЖКХ и водоканалы,временный трубопровод для водоканала,5,,commercial_research,industry,SEPARATE_PAGE,industry,I000,/bystrotruby-site/industries/utilities-waterworks/,medium,core,medium,total_frequency не рассчитана: источник частотности недоступен
