query,frequency,frequency_source,intent,primary_cluster,secondary_cluster,axis,page_role,cluster_status,parent_cluster,serp_similarity_group,commercial_priority,business_relevance,target_product,recommended_url,notes
быстроразъемные трубопроводы,,unavailable,commercial,Быстроразъемные трубопроводы,,general,hub,HUB,,C001,high,core,комплект трубопровода,/bystrotruby-site/constructions/,главный запрос кластера
быстроразъемный трубопровод,,unavailable,commercial,Быстроразъемные трубопроводы,Быстроразъемные трубопроводы,general,hub,HUB,,C001,high,core,комплект трубопровода,/bystrotruby-site/constructions/,вариант/подинтент; частотность не получена
быстроразъемные трубопроводы купить,,unavailable,commercial,Быстроразъемные трубопроводы,Быстроразъемные трубопроводы,general,hub,HUB,,C001,high,core,комплект трубопровода,/bystrotruby-site/constructions/,вариант/подинтент; частотность не получена
быстроразъемная трубопроводная система,,unavailable,commercial,Быстроразъемные трубопроводы,Быстроразъемные трубопроводы,general,hub,HUB,,C001,high,core,комплект трубопровода,/bystrotruby-site/constructions/,вариант/подинтент; частотность не получена
быстросъемный трубопровод,,unavailable,commercial,Быстроразъемные трубопроводы,Быстроразъемные трубопроводы,general,hub,HUB,,C001,high,core,комплект трубопровода,/bystrotruby-site/constructions/,вариант/подинтент; частотность не получена
разъемный трубопровод,,unavailable,commercial,Быстроразъемные трубопроводы,Быстроразъемные трубопроводы,general,hub,HUB,,C001,high,core,комплект трубопровода,/bystrotruby-site/constructions/,вариант/подинтент; частотность не получена
трубопровод с БРС,,unavailable,commercial,Трубопроводы с БРС,,product,category,SEPARATE_PAGE,C001,C002,high,core,трубы с БРС,/bystrotruby-site/constructions/brs-pipelines/,главный запрос кластера
трубопровод на БРС,,unavailable,commercial,Трубопроводы с БРС,Трубопроводы с БРС,product,category,SEPARATE_PAGE,C001,C002,high,core,трубы с БРС,/bystrotruby-site/constructions/brs-pipelines/,вариант/подинтент; частотность не получена
БРС трубопровод,,unavailable,commercial,Трубопроводы с БРС,Трубопроводы с БРС,product,category,SEPARATE_PAGE,C001,C002,high,core,трубы с БРС,/bystrotruby-site/constructions/brs-pipelines/,вариант/подинтент; частотность не получена
сборно разборный трубопровод БРС,,unavailable,commercial,Трубопроводы с БРС,Трубопроводы с БРС,product,category,SEPARATE_PAGE,C001,C002,high,core,трубы с БРС,/bystrotruby-site/constructions/brs-pipelines/,вариант/подинтент; частотность не получена
комплект трубопровода БРС,,unavailable,commercial,Трубопроводы с БРС,Трубопроводы с БРС,product,category,SEPARATE_PAGE,C001,C002,high,core,трубы с БРС,/bystrotruby-site/constructions/brs-pipelines/,вариант/подинтент; частотность не получена
линия трубопровода с БРС,,unavailable,commercial,Трубопроводы с БРС,Трубопроводы с БРС,product,category,SEPARATE_PAGE,C001,C002,high,core,трубы с БРС,/bystrotruby-site/constructions/brs-pipelines/,вариант/подинтент; частотность не получена
трубы с БРС,,unavailable,commercial,Трубы с БРС,,product,category,SEPARATE_PAGE,C002,C003,high,core,трубы с БРС,/bystrotruby-site/catalog/pipes/,главный запрос кластера
труба БРС,,unavailable,commercial,Трубы с БРС,Трубы с БРС,product,category,SEPARATE_PAGE,C002,C003,high,core,трубы с БРС,/bystrotruby-site/catalog/pipes/,вариант/подинтент; частотность не получена
металлические трубы с БРС,,unavailable,commercial,Трубы с БРС,Трубы с БРС,product,category,SEPARATE_PAGE,C002,C003,high,core,трубы с БРС,/bystrotruby-site/catalog/pipes/,вариант/подинтент; частотность не получена
трубы с быстроразъемным соединением,,unavailable,commercial,Трубы с БРС,Трубы с БРС,product,category,SEPARATE_PAGE,C002,C003,high,core,трубы с БРС,/bystrotruby-site/catalog/pipes/,вариант/подинтент; частотность не получена
секции трубопровода БРС,,unavailable,commercial,Трубы с БРС,Трубы с БРС,product,category,SEPARATE_PAGE,C002,C003,high,core,трубы с БРС,/bystrotruby-site/catalog/pipes/,вариант/подинтент; частотность не получена
купить трубы БРС,,unavailable,commercial,Трубы с БРС,Трубы с БРС,product,category,SEPARATE_PAGE,C002,C003,high,core,трубы с БРС,/bystrotruby-site/catalog/pipes/,вариант/подинтент; частотность не получена
труба с шарнирным хомутом,,unavailable,commercial,Трубы с БРС,Трубы с БРС,product,category,SEPARATE_PAGE,C002,C003,high,core,трубы с БРС,/bystrotruby-site/catalog/pipes/,вариант/подинтент; частотность не получена
БРС на шарнирном хомуте,,unavailable,commercial,БРС на шарнирном хомуте,,connection,product,SEPARATE_PAGE,C002,C004,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/hinged-clamps/,главный запрос кластера
быстроразъемное соединение с шарнирным хомутом,,unavailable,commercial,БРС на шарнирном хомуте,БРС на шарнирном хомуте,connection,product,SEPARATE_PAGE,C002,C004,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/hinged-clamps/,вариант/подинтент; частотность не получена
БРС с клиновым хомутом,,unavailable,commercial,БРС на шарнирном хомуте,БРС на шарнирном хомуте,connection,product,SEPARATE_PAGE,C002,C004,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/hinged-clamps/,вариант/подинтент; частотность не получена
БРС труб шарнирный хомут,,unavailable,commercial,БРС на шарнирном хомуте,БРС на шарнирном хомуте,connection,product,SEPARATE_PAGE,C002,C004,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/hinged-clamps/,вариант/подинтент; частотность не получена
соединение труб шарнирным хомутом,,unavailable,commercial,БРС на шарнирном хомуте,БРС на шарнирном хомуте,connection,product,SEPARATE_PAGE,C002,C004,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/hinged-clamps/,вариант/подинтент; частотность не получена
хомут БРС,,unavailable,commercial,БРС на шарнирном хомуте,БРС на шарнирном хомуте,connection,product,SEPARATE_PAGE,C002,C004,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/hinged-clamps/,вариант/подинтент; частотность не получена
комплект БРС на трубу,,unavailable,commercial,БРС на шарнирном хомуте,БРС на шарнирном хомуте,connection,product,SEPARATE_PAGE,C002,C004,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/hinged-clamps/,вариант/подинтент; частотность не получена
сборно-разборный трубопровод,,unavailable,commercial_research,Быстросборные и сборно-разборные трубопроводы,,general,section_only,SECTION,C001,C005,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/quick-assembly-pipelines/,главный запрос кластера
быстросборный трубопровод,,unavailable,commercial_research,Быстросборные и сборно-разборные трубопроводы,Быстросборные и сборно-разборные трубопроводы,general,section_only,SECTION,C001,C005,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/quick-assembly-pipelines/,вариант/подинтент; частотность не получена
сборно разборные трубопроводы,,unavailable,commercial_research,Быстросборные и сборно-разборные трубопроводы,Быстросборные и сборно-разборные трубопроводы,general,section_only,SECTION,C001,C005,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/quick-assembly-pipelines/,вариант/подинтент; частотность не получена
разборный трубопровод,,unavailable,commercial_research,Быстросборные и сборно-разборные трубопроводы,Быстросборные и сборно-разборные трубопроводы,general,section_only,SECTION,C001,C005,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/quick-assembly-pipelines/,вариант/подинтент; частотность не получена
модульный сборный трубопровод,,unavailable,commercial_research,Быстросборные и сборно-разборные трубопроводы,Быстросборные и сборно-разборные трубопроводы,general,section_only,SECTION,C001,C005,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/quick-assembly-pipelines/,вариант/подинтент; частотность не получена
быстромонтируемый трубопровод,,unavailable,commercial_research,Быстросборные и сборно-разборные трубопроводы,Быстросборные и сборно-разборные трубопроводы,general,section_only,SECTION,C001,C005,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/quick-assembly-pipelines/,вариант/подинтент; частотность не получена
временный трубопровод,,unavailable,commercial_research,Временные и мобильные трубопроводы,,general,category,SEPARATE_PAGE,C001,C006,high,core,комплект трубопровода,/bystrotruby-site/constructions/temporary-pipelines/,главный запрос кластера
мобильный трубопровод,,unavailable,commercial_research,Временные и мобильные трубопроводы,Временные и мобильные трубопроводы,general,category,SEPARATE_PAGE,C001,C006,high,core,комплект трубопровода,/bystrotruby-site/constructions/temporary-pipelines/,вариант/подинтент; частотность не получена
переносной трубопровод,,unavailable,commercial_research,Временные и мобильные трубопроводы,Временные и мобильные трубопроводы,general,category,SEPARATE_PAGE,C001,C006,high,core,комплект трубопровода,/bystrotruby-site/constructions/temporary-pipelines/,вариант/подинтент; частотность не получена
временные трубопроводные системы,,unavailable,commercial_research,Временные и мобильные трубопроводы,Временные и мобильные трубопроводы,general,category,SEPARATE_PAGE,C001,C006,high,core,комплект трубопровода,/bystrotruby-site/constructions/temporary-pipelines/,вариант/подинтент; частотность не получена
мобильные трубопроводные системы,,unavailable,commercial_research,Временные и мобильные трубопроводы,Временные и мобильные трубопроводы,general,category,SEPARATE_PAGE,C001,C006,high,core,комплект трубопровода,/bystrotruby-site/constructions/temporary-pipelines/,вариант/подинтент; частотность не получена
временный водовод,,unavailable,commercial_research,Временные и мобильные трубопроводы,Временные и мобильные трубопроводы,general,category,SEPARATE_PAGE,C001,C006,high,core,комплект трубопровода,/bystrotruby-site/constructions/temporary-pipelines/,вариант/подинтент; частотность не получена
